番号,110,
名前,杨,
呼び名,杨,
基礎,0,1800
基礎,1,1400
能力,1,1
能力,3,1
経験,3,10
経験,4,5
経験,10,15

素質,17,
素質,20,
素質,21,
素質,26,
素質,32,
素質,40,
素質,42,
素質,55,
素質,63,
素質,66,
素質,72,
素質,80,
素質,94,
素質,115,
素質,134,
素質,135,

素質,301,
素質,307,
素質,310,
素質,315,
素質,317,
素質,323,
素質,334,
素質,335,
素質,336,

;男性、童贞、后庭处子をまとめて
素質,140,
素質,161,

;简介
CSTR,91,原精神科医生的青年，总是带着一丝若有若无的微笑，
CSTR,92,那双锐利的眼眸仿佛可以窥透他人的内心。
CSTR,93,早上不喝一杯黑咖啡就活不下去，
CSTR,94,讨厌小孩子和吵闹，一个人住在高档公寓里。
CSTR,95,洁癖。极简主义是他的生活信仰。
CSTR,96,衣柜里收藏了数十件高级白衬衫，房间里只有一副桌椅，一张床和一盏灯。

;其他
CSTR,0,在下
CSTR,1,你
CSTR,2,你
CSTR,3,主人
CSTR,5,杨
CSTR,10,Ｃ
