番号,192,
名前,阿蒙,
呼び名,阿蒙,

;基础设定: 
;详见 Base.csv
基礎,0,2600
基礎,1,1600

;能力设定: 
;详见 Abl.csv
能力,1,3 ;欲望
能力,2,3 ;技巧

;经验设定:
;详见 exp.csv
;経験,3,5
;経験,10,10

;素质设定:
;素質,21, ;无动于衷 ;蒙不是会面对快感无动于衷的人XD
素質,22, ;缺乏感情
素質,23, ;性好奇

素質,31, ;贞操淡漠
素質,33, ;性开放
素質,36, ;不知羞耻

素質,41, ;耐痛
素質,42, ;容易湿

素質,50, ;学得快
素質,52, ;善用舌头
素質,53, ;擅长用针
素質,55, ;调和知识
素質,58, ;手指灵巧

素質,60, ;容易自慰
素質,61, ;污臭钝感
素質,63, ;自我奉献

素質,70, ;接受快感
素質,72, ;容易上瘾
素質,73, ;容易高潮
素質,78, ;性爱狂

素質,80, ;性倒错
素質,81, ;男女通吃
素質,83, ;施虐狂
素質,84, ;受虐狂
素質,87, ;小恶魔

素質,92, ;魅力
素質,94, ;谜之魅力

素質,130, ;恢复快
素質,134, ;月光浴
素質,137, ;双性

素質,160, ;童贞
素質,161, ;后庭处子

素質,301, ;西洋风
素質,308, ;眼镜

素質,315, ;大人

;简介
CSTR,92,远古太阳神之子，欺诈与恶作剧之神。
CSTR,93,掌握错误与时间方面权柄。
CSTR,94,深黑色巫师长袍，戴尖顶软帽，右眼佩戴一枚水晶制单片眼镜。
CSTR,95,善于欺诈他人，且享受这个过程。

;其他
CSTR,0,我
CSTR,1,你
CSTR,2,你
CSTR,3,主人
CSTR,5,阿蒙
CSTR,10,Ｄ
